AAPL
ADBE
AFRM
AMD
AMZN
BABA
BIDU
COIN
COUR
CRM
CRWD
CSCO
DBX
DDOG
DOCU
FSLY
GOOGL
IBM
INTC
JD
LYFT
MDB
META
MSFT
NET
NFLX
NOW
NVDA
OKTA
ORCL
PATH
PLTR
PYPL
RBLX
SHOP
SNAP
SNOW
SPOT
SQ
TCEHY
TEAM
TSLA
TSM
TWLO
U
UBER
WDAY
ZI
ZM
ZS
